lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,T5,RH_5,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Tdewpoint,hour,weekday
-0.337004096417083,-0.6514554353149056,-0.9971221624549845,-1.0263408573578008,-0.4003918656592683,-0.9413193244579882,-0.47312584326597656,-0.7306664680526831,-1.3326261274920626,-0.2431382054050329,0.008292156686874852,-1.3982442930169883,-0.9113396000338824,-0.9769442109698689,-0.2887549331199091,-2.0270573327390893,0.028471846352377386,-0.5459980012249311,-0.46367783586134764,-0.5351703243488192,-1.209842391097712,-1.150849784666306,-1.0912614151779025,-1.5943230628414475
-0.337004096417083,-0.6514554353149056,-1.011063814373902,-1.0337160119735211,-0.4003918656592683,-0.9413193244579882,-0.47312584326597656,-0.7707423894299033,-1.3326261274920626,-0.24692719902560706,-0.009977715044177242,-1.4492946722434277,-0.9194833985421602,-0.9769442109698689,-0.31483979710918575,-2.0270573327390893,0.028471846352377386,-0.567730616029604,-0.4708964758358082,-0.5444961204084887,-1.209842391097712,-1.1681606610512412,-1.0912614151779025,-1.5943230628414475
-0.337004096417083,-0.6514554353149056,-1.018034639287738,-1.0573165160365188,-0.4003918656592683,-0.8794059099920404,-0.47312584326597656,-0.850894244207118,-1.3326261274920626,-0.25450518740345446,-0.023121507209650703,-1.4164765672605257,-0.9194833985421602,-0.9769442109698689,-0.3402884436466889,-2.0270573327390893,0.028471846352377386,-0.567730616029604,-0.47811509415437486,-0.5538219170277058,-1.209842391097712,-1.188356683500332,-0.9454480103790862,-1.5943230628414475
-0.337004096417083,-0.6514554353149056,-1.0333704549346738,-1.0779669551556628,-0.4003918656592683,-0.8794059099920404,-0.45533004747480105,-0.7306664680526831,-1.3326261274920626,-0.26700886760171794,-0.06436015632408698,-1.3982442930169883,-0.9194833985421602,-1.0796309149319205,-0.38418736002135206,-2.0270573327390893,0.028471846352377386,-0.5894632308342769,-0.47811509415437486,-0.5258445277296022,-1.1141831391228927,-1.1797012453078644,-0.9454480103790862,-1.5943230628414475
-0.337004096417083,-0.6918823549074234,-1.0473121068535924,-1.0779669551556628,-0.4003918656592683,-0.8794059099920404,-0.47312584326597656,-0.8108183228298979,-1.3326261274920626,-0.273829056800771,-0.10346293882964236,-1.3982442930169883,-0.9194833985421602,-1.0796309149319205,-0.39691168424442663,-2.0270573327390893,0.028471846352377386,-0.61119584563895,-0.47811509415437486,-0.49786713843149877,-1.0185238877220288,-1.1681606610512412,-0.9454480103790862,-1.5943230628414475
-0.337004096417083,-0.7727362062205416,-1.0598595929532435,-1.0779669551556628,-0.4003918656592683,-0.8794059099920404,-0.47312584326597656,-0.850894244207118,-1.3326261274920626,-0.2814070451786176,-0.12531449417962545,-1.430150780033516,-0.940596949448306,-1.0796309149319205,-0.42999492493404506,-2.0270573327390893,0.028471846352377386,-0.6329284604436229,-0.47811509415437486,-0.46988974913339526,-0.9228646357472093,-1.1595052228587737,-0.9454480103790862,-1.5943230628414475
-0.337004096417083,-0.7727362062205416,-1.0598595929532435,-1.0779669551556628,-0.4003918656592683,-0.8484492074025745,-0.44643214957921223,-0.850894244207118,-1.3738757620966902,-0.29741554444749496,-0.1282718474907909,-1.5258702410830942,-0.940596949448306,-1.0796309149319205,-0.4554435714715469,-2.0270573327390893,0.028471846352377386,-0.6546610752482958,-0.47811509415437486,-0.4419123598352918,-0.82720538377239,-1.150849784666306,-0.9454480103790862,-1.5943230628414475
-0.337004096417083,-0.7727362062205416,-1.0598595929532435,-1.0779669551556628,-0.4003918656592683,-0.7865357929366267,-0.44643214957921223,-0.850894244207118,-1.3326261274920626,-0.2999731153971399,-0.13303647194129564,-1.4894056784153524,-0.940596949448306,-1.0796309149319205,-0.4624419500805347,-2.0270573327390893,0.028471846352377386,-0.6763936900529686,-0.47811509415437486,-0.4139349705371883,-0.7315461323715261,-1.1393092004096825,-0.9454480103790862,-1.5943230628414475
-0.337004096417083,-0.8131631258130638,-1.0598595929532435,-1.0779669551556628,-0.4003918656592683,-0.8484492074025745,-0.46422794537038986,-0.850894244207118,-1.3326261274920626,-0.3113400973955614,-0.1400191118680669,-1.47481986185665,-0.940596949448306,-1.1053025909224363,-0.47103086850166487,-2.0270573327390893,0.028471846352377386,-0.6981263048576414,-0.47811509415437486,-0.3859575812390848,-0.6358868803967066,-1.1306537622172148,-0.7996346055802699,-1.5943230628414475
-0.337004096417083,-0.8940169771261821,-1.0598595929532435,-1.0779669551556628,-0.40318581229426553,-0.8484492074025745,-0.46422794537038986,-0.850894244207118,-1.3326261274920626,-0.31967588381550405,-0.14125134241438572,-1.5258702410830942,-0.940596949448306,-1.1138598128297166,-0.4624419500805347,-2.0270573327390893,0.028471846352377386,-0.6546610752482958,-0.4745057741671323,-0.3952833778583018,-0.7315461323715261,-1.0816062791265653,-0.7996346055802699,-1.5943230628414475
